"interview__key","y5_hhid","lvstckid","lf02_01","lf02_02","lf02_03","lf02_04_1","lf02_04_2","lf02_05","lf02_06","lf02_07","lf02_08","lf02_09","lf02_10","lf02_11","lf02_12","lf02_13","lf02_14","lf02_15","lf02_16","lf02_17","lf02_18","lf02_19","lf02_20","lf02_21","lf02_22","lf02_23","lf02_24","lf02_25","lf02_26","lf02_27_1","lf02_27_2","lf02_28a","lf02_28b","lf02_29","lf02_30","lf02_31","lf02_32","lf02_33","lf02_34a","lf02_34b","lf02_35_1","lf02_35_2"
"96-49-61-15","3205-001-04",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",9,1,1,5,,3,8,2,,,2,,,1,2,1,1,1,50000,2,,,1,1,70000,1,1,130000,1,2,1,1,2,,,,,,,,
"96-49-61-15","3205-001-04",10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-61-15","3205-001-04",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-43-36-88","3205-001-06",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",7,1,0,0,1,0,0,1,1,30000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"22-66-04-87","3205-001-10",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",10,1,5,4,13,0,17,2,,,2,,,2,,,1,2,2000,1,2,20000,1,1,10000,1,1,10000,1,2,9,1,1,2,1.3,0,,,,,
"22-66-04-87","3205-001-10",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-66-04-87","3205-001-10",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-22-03-23","3206-001-01",1,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"02-22-03-23","3206-001-01",2,1,5,3,4,0,,2,,,1,1,3,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"02-22-03-23","3206-001-01",3,1,1,3,1,0,,2,,,2,,,1,2,3,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"02-22-03-23","3206-001-01",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-22-03-23","3206-001-01",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-22-03-23","3206-001-01",6,1,0,0,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"02-22-03-23","3206-001-01",7,1,13,4,4,0,2,2,,,2,,,2,,,2,,,2,,,2,,,1,2,55000,1,,9,1,2,,,,,,,,
"02-22-03-23","3206-001-01",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-22-03-23","3206-001-01",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-22-03-23","3206-001-01",10,1,40,21,37,0,48,2,,,1,3,1,1,1,1,1,10,20000,1,3,1500,1,8,14000,1,5,25000,2,,1,1,1,8,1,0,,,,,
"02-22-03-23","3206-001-01",11,1,3,7,7,0,5,2,,,2,,,2,,,2,,,2,,,2,,,1,5,50000,1,,9,1,2,,,,,,,,
"02-22-03-23","3206-001-01",12,1,2,6,4,0,0,2,,,2,,,2,,,2,,,2,,,2,,,1,2,20000,1,,1,1,2,,,,,,,,
"02-22-03-23","3206-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-22-03-23","3206-001-01",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-22-03-23","3206-001-01",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-22-03-23","3206-001-01",16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-22-03-23","3206-001-01",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-27-33-34","3206-001-03",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-39-00-82","3206-001-04",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",1,1,0,0,4,0,,1,4,3200000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"48-07-76-49","3206-001-06",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",7,1,0,2,2,0,0,1,2,40000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"48-07-76-49","3206-001-06",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",9,1,6,15,,28,20,2,,,2,,,2,,,1,4,320000,2,,,2,,,1,3,500000,1,,9,1,2,,,,,,,,
"48-07-76-49","3206-001-06",10,1,5,15,20,0,10,2,,,1,2,1,2,,,1,5,50000,2,,,2,,,2,,,,,,,1,4,1,0,,,,,
"48-07-76-49","3206-001-06",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-76-49","3206-001-06",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-70-89-55","3207-001-01",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",9,1,7,13,,1,10,2,,,2,,,1,3,1,2,,,2,,,2,,,1,19,2000000,3,,3,1,2,,,,,,,,
"09-76-80-66","3208-001-01",10,1,7,22,2,0,61,2,,,2,,,1,2,1,1,60,350000,2,,,1,15,30000,2,,,,,,,1,5,60000,0,,,,,
"09-76-80-66","3208-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-76-80-66","3208-001-01",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",4,1,0,0,1,0,,1,1,250000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"75-95-65-45","3209-001-01",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",9,1,0,3,,2,5,1,1,100000,2,,,2,,,2,,,2,,,1,5,250000,1,2,500000,1,2,9,1,2,,,,,,,,
"75-95-65-45","3209-001-01",10,1,0,8,10,0,48,2,,,2,,,2,,,1,40,80000,2,,,2,,,2,,,,,,,1,6,1.5,0,,,,,
"75-95-65-45","3209-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-95-65-45","3209-001-01",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-67-94-83","3210-001-01",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-15-76-71","3210-001-02",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-95-67-14","3211-001-01",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-02-43-54","3211-001-02",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
