"interview__key","y5_hhid","itemcode","hh_ja01","hh_ja02_1","hh_ja02_2","hh_ja02a_1","hh_ja02b_1","hh_ja02b_2","hh_ja03_1","hh_ja03_2","hh_ja04","hh_ja05_1","hh_ja05_2","hh_ja06_1","hh_ja06_2","hh_ja07","hh_ja08_1","hh_ja08_2","hh_ja08_9","hh_ja09_1","hh_ja09_2"
"50-14-90-69","2995-001-03",1101,1,2,20,,,,2,20,200,,0,,0,,,,,,
"50-14-90-69","2995-001-03",1102,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",1103,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",1104,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",1105,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",1106,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",1107,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",1108,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",4011,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",4012,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",4013,1,2,500,,,,,0,,,0,2,500,,,,,,
"50-14-90-69","2995-001-03",6011,1,6,1,2,2,250,6,1,200,,0,,0,2,1,0,0,,
"50-14-90-69","2995-001-03",6012,1,6,7,3,1,1.5,4,7,1400,,0,,0,2,1,0,0,,
"50-14-90-69","2995-001-03",6013,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",6021,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",6022,1,6,7,3,1,3,6,7,1400,,0,,0,2,1,0,0,,
"50-14-90-69","2995-001-03",6023,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",7021,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",7022,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",7023,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",7031,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",7032,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",7033,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",8041,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",8042,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",8081,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",8082,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",8083,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",8084,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",11011,2,,,,,,,,,,,,,,,,,,
"50-14-90-69","2995-001-03",11021,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",101,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",102,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",103,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",104,1,11,2,,1,2,,0,,1,2,,0,1,,,,2,1394
"88-33-69-39","2996-001-02",105,1,11,10,,1,10,,0,,1,10,,0,2,1,0,0,,
"88-33-69-39","2996-001-02",106,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",107,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",109,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",111,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",112,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",201,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",202,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",203,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",204,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",205,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",206,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",207,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",301,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",302,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",303,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",501,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",502,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",503,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",504,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",603,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",701,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",704,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",801,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",802,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",803,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",805,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",806,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",807,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",809,1,6,2,,2,200,6,2,1000,,0,,0,,,,,,
"88-33-69-39","2996-001-02",810,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",901,1,15,7,,4,3500,15,7,3500,,0,,0,,,,,,
"88-33-69-39","2996-001-02",902,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",903,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1001,1,4,500,,,,4,500,2500,,0,,0,,,,,,
"88-33-69-39","2996-001-02",1002,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1003,1,2,250,,,,2,250,250,,0,,0,,,,,,
"88-33-69-39","2996-001-02",1004,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1081,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1082,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1101,1,2,50,,,,2,50,500,,0,,0,,,,,,
"88-33-69-39","2996-001-02",1102,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1103,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1104,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1105,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1106,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1107,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",1108,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",4011,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",4012,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",4013,1,11,2,,1,2,1,2,4000,,0,,0,,,,,,
"88-33-69-39","2996-001-02",6011,1,6,1,2,2,250,6,1,500,,0,,0,2,1,0,0,,
"88-33-69-39","2996-001-02",6012,1,6,1,2,2,500,6,1,500,,0,,0,2,1,0,0,,
"88-33-69-39","2996-001-02",6013,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",6021,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",6022,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",6023,1,6,2,,1,1,6,2,800,,0,,0,,,,,,
"88-33-69-39","2996-001-02",7021,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",7022,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",7023,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",7031,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",7032,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",7033,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",8041,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",8042,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",8081,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",8082,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",8083,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",8084,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",11011,2,,,,,,,,,,,,,,,,,,
"88-33-69-39","2996-001-02",11021,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",101,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",102,1,1,2,,,,,0,,,0,1,2,,,,,,
"11-02-33-60","2997-001-01",103,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",104,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",105,1,1,5,,,,,0,,1,5,,0,,,,,,
"11-02-33-60","2997-001-01",106,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",107,1,1,1,,,,,0,,,0,1,1,,,,,,
"11-02-33-60","2997-001-01",109,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",111,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",112,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",201,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",202,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",203,1,6,1,2,1,2,,0,,,0,6,1,2,1,0,0,,
"11-02-33-60","2997-001-01",204,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",205,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",206,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",207,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",301,1,2,500,,,,2,500,1400,,0,,0,,,,,,
"11-02-33-60","2997-001-01",302,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",303,1,4,250,,,,,0,,,0,4,250,,,,,,
"11-02-33-60","2997-001-01",501,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",502,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",503,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",504,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",603,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",701,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",704,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",801,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",802,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",803,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",805,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",806,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",807,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",809,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",810,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",901,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",902,1,4,750,,,,4,750,900,,0,,0,,,,,,
"11-02-33-60","2997-001-01",903,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1001,1,4,250,,,,4,250,1250,,0,,0,,,,,,
"11-02-33-60","2997-001-01",1002,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1003,1,2,150,,,,2,150,150,,0,,0,,,,,,
"11-02-33-60","2997-001-01",1004,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1081,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1082,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1101,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1102,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1103,1,2,30,,,,2,30,300,,0,,0,,,,,,
"11-02-33-60","2997-001-01",1104,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1105,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1106,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1107,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",1108,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",4011,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",4012,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",4013,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",6011,1,6,1,1,2,250,6,1,500,,0,,0,2,1,0,0,,
"11-02-33-60","2997-001-01",6012,1,6,1,2,2,500,6,1,1000,,0,,0,2,1,0,0,,
"11-02-33-60","2997-001-01",6013,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",6021,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",6022,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",6023,1,6,4,,2,200,,0,,6,4,,0,,,,,,
"11-02-33-60","2997-001-01",7021,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",7022,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",7023,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",7031,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",7032,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",7033,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",8041,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",8042,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",8081,1,15,1,,2,250,15,1,500,,0,,0,2,1,0,0,,
"11-02-33-60","2997-001-01",8082,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",8083,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",8084,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",11011,2,,,,,,,,,,,,,,,,,,
"11-02-33-60","2997-001-01",11021,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",101,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",102,1,1,1,,,,1,1,1400,,0,,0,,,,,,
"27-70-95-26","2999-001-01",103,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",104,1,11,2,,1,1,,0,,1,1,,0,1,,,,2,1394
"27-70-95-26","2999-001-01",105,1,11,4,,1,2,,0,,1,2,,0,2,1,0,0,,
"27-70-95-26","2999-001-01",106,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",107,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",109,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",111,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",112,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",201,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",202,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",203,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",204,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",205,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",206,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",207,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",301,1,2,500,,,,2,500,1200,,0,,0,,,,,,
"27-70-95-26","2999-001-01",302,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",303,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",501,1,2,250,,,,,0,,,0,2,250,,,,,,
"27-70-95-26","2999-001-01",502,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",503,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",504,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",603,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",701,1,5,3,2,2,500,5,3,600,,0,,0,2,1,0,0,,
"27-70-95-26","2999-001-01",704,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",801,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",802,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",803,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",805,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",806,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",807,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",809,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",810,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",901,1,4,500,,,,4,500,500,,0,,0,,,,,,
"27-70-95-26","2999-001-01",902,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",903,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1001,1,4,500,,,,4,500,2500,,0,,0,,,,,,
"27-70-95-26","2999-001-01",1002,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1003,1,2,125,,,,2,125,125,,0,,0,,,,,,
"27-70-95-26","2999-001-01",1004,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1081,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1082,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1101,1,2,25,,,,2,25,300,,0,,0,,,,,,
"27-70-95-26","2999-001-01",1102,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1103,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1104,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1105,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1106,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1107,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",1108,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",4011,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",4012,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",4013,1,2,750,,,,2,500,1000,2,250,,0,,,,,,
"27-70-95-26","2999-001-01",6011,1,6,1,2,2,500,6,1,500,,0,,0,2,1,0,0,,
"27-70-95-26","2999-001-01",6012,1,6,2,2,1,1,1,1,1000,,0,,0,2,1,0,0,,
"27-70-95-26","2999-001-01",6013,1,6,3,,1,1,6,3,1500,,0,,0,,,,,,
"27-70-95-26","2999-001-01",6021,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",6022,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",6023,1,6,1,,2,500,6,1,500,,0,,0,,,,,,
"27-70-95-26","2999-001-01",7021,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",7022,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",7023,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",7031,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",7032,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",7033,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",8041,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",8042,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",8081,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",8082,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",8083,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",8084,2,,,,,,,,,,,,,,,,,,
"27-70-95-26","2999-001-01",11011,1,5,10,2,2,250,2,250,1000,,0,,0,2,1,0,0,,
"27-70-95-26","2999-001-01",11021,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",101,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",102,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",103,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",104,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",105,1,1,46,,,,,0,,1,46,,0,,,,,,
"47-30-53-57","3000-001-01",106,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",107,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",109,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",111,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",112,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",201,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",202,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",203,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",204,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",205,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",206,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",207,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",301,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",302,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",303,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",501,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",502,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",503,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",504,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",603,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",701,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",704,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",801,1,1,20,,,,,0,,1,20,,0,,,,,,
"47-30-53-57","3000-001-01",802,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",803,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",805,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",806,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",807,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",809,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",810,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",901,1,4,1750,,,,,0,,4,1750,,0,,,,,,
"47-30-53-57","3000-001-01",902,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",903,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1001,1,4,750,,,,4,750,3750,,0,,0,,,,,,
"47-30-53-57","3000-001-01",1002,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1003,1,2,200,,,,2,200,200,,0,,0,,,,,,
"47-30-53-57","3000-001-01",1004,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1081,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1082,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1101,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1102,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1103,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1104,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1105,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1106,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1107,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",1108,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",4011,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",4012,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",4013,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",6011,1,2,920,,,,2,920,2000,,0,,0,,,,,,
"47-30-53-57","3000-001-01",6012,1,2,4380,,,,2,4380,5000,,0,,0,,,,,,
"47-30-53-57","3000-001-01",6013,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",6021,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",6022,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",6023,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",7021,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",7022,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",7023,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",7031,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",7032,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",7033,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",8041,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",8042,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",8081,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",8082,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",8083,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",8084,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",11011,2,,,,,,,,,,,,,,,,,,
"47-30-53-57","3000-001-01",11021,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",101,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",102,1,1,5,,,,1,5,15000,,0,,0,,,,,,
"59-36-48-49","3001-001-01",103,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",104,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",105,1,1,12,,,,,0,,1,12,,0,,,,,,
"59-36-48-49","3001-001-01",106,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",107,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",109,1,5,4,,2,1600,,0,,,0,2,1600,,,,,,
"59-36-48-49","3001-001-01",111,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",112,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",201,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",202,2,,,,,,,,,,,,,,,,,,
"59-36-48-49","3001-001-01",203,1,6,4,3,1,6,1,6,8000,,0,,0,2,1,0,0,,
